,variable,Date,Time,value
3677,Croatia,2013,5,91.83544931506849
3678,Croatia,2013,6,103.81436986301371
3679,Croatia,2013,7,119.0173506849315
3680,Croatia,2013,8,132.5282493150685
3681,Croatia,2013,9,143.75903561643835
3682,Croatia,2013,10,152.23596438356165
3683,Croatia,2013,11,157.83923287671232
3684,Croatia,2013,12,160.18437534246576
3685,Croatia,2013,13,159.0376712328767
3686,Croatia,2013,14,153.59798630136987
3687,Croatia,2013,15,144.27504657534246
3688,Croatia,2013,16,133.5654602739726
3689,Croatia,2013,17,121.00160547945207
3690,Croatia,2013,18,111.19328493150685
3691,Croatia,2013,19,105.43414246575342
3692,Croatia,2013,20,100.81033424657534
3693,Croatia,2013,21,97.05482465753424
3694,Croatia,2013,22,93.99196438356165
3695,Croatia,2013,23,91.29344109589042
3696,Croatia,2014,0,96.74761917808219
3697,Croatia,2014,1,94.42131780821919
3698,Croatia,2014,2,92.30314520547945
3699,Croatia,2014,3,90.41526849315068
3700,Croatia,2014,4,92.53766301369863
3701,Croatia,2014,5,99.29572328767122
3702,Croatia,2014,6,111.0595589041096
3703,Croatia,2014,7,125.52917808219179
3704,Croatia,2014,8,138.8316602739726
3705,Croatia,2014,9,149.53451232876714
3706,Croatia,2014,10,157.47753424657535
3707,Croatia,2014,11,162.67254520547945
3708,Croatia,2014,12,164.81903835616438
3709,Croatia,2014,13,163.8579205479452
3710,Croatia,2014,14,158.8641397260274
3711,Croatia,2014,15,149.71103835616438
3712,Croatia,2014,16,139.00294246575342
3713,Croatia,2014,17,127.57687397260274
3714,Croatia,2014,18,118.54350136986301
3715,Croatia,2014,19,113.01854794520547
3716,Croatia,2014,20,108.4761205479452
3717,Croatia,2014,21,104.88255616438357
3718,Croatia,2014,22,101.84845205479452
3719,Croatia,2014,23,99.02541369863013
3720,Croatia,2015,0,92.9167698630137
3721,Croatia,2015,1,90.33795616438356
3722,Croatia,2015,2,88.14484931506848
3723,Croatia,2015,3,86.26517260273972
3724,Croatia,2015,4,88.63410684931507
3725,Croatia,2015,5,96.14312876712329
3726,Croatia,2015,6,108.73551780821917
3727,Croatia,2015,7,124.36758904109588
3728,Croatia,2015,8,138.92216438356166
3729,Croatia,2015,9,150.5769479452055
3730,Croatia,2015,10,159.57229589041097
3731,Croatia,2015,11,165.63805205479454
3732,Croatia,2015,12,168.40930684931507
3733,Croatia,2015,13,167.4822931506849
3734,Croatia,2015,14,161.84545479452055
3735,Croatia,2015,15,151.5804904109589
3736,Croatia,2015,16,140.00959726027398
3737,Croatia,2015,17,126.87039726027398
3738,Croatia,2015,18,116.51098904109588
3739,Croatia,2015,19,110.45606575342465
3740,Croatia,2015,20,105.63988767123288
3741,Croatia,2015,21,101.67039452054796
3742,Croatia,2015,22,98.52975890410958
3743,Croatia,2015,23,95.67478904109589
3744,Croatia,2016,0,90.04392622950819
3745,Croatia,2016,1,87.86765027322404
3746,Croatia,2016,2,85.76740163934426
3747,Croatia,2016,3,84.02291803278688
3748,Croatia,2016,4,85.95983606557377
3749,Croatia,2016,5,92.95502732240438
3750,Croatia,2016,6,105.24992896174864
3751,Croatia,2016,7,121.0675655737705
3752,Croatia,2016,8,135.51156830601093
3753,Croatia,2016,9,146.81912021857923
3754,Croatia,2016,10,155.3796857923497
3755,Croatia,2016,11,160.71088524590164
3756,Croatia,2016,12,162.89596174863388
3757,Croatia,2016,13,161.51783606557376
3758,Croatia,2016,14,155.71612295081968
3759,Croatia,2016,15,146.1001174863388
3760,Croatia,2016,16,134.99352732240436
3761,Croatia,2016,17,122.48862021857923
3762,Croatia,2016,18,112.52976229508195
3763,Croatia,2016,19,106.72838797814207
3764,Croatia,2016,20,102.15229781420766
3765,Croatia,2016,21,98.51794262295083
3766,Croatia,2016,22,95.33760109289616
3767,Croatia,2016,23,92.50370765027323
3768,Croatia,2017,0,90.59593698630137
3769,Croatia,2017,1,88.11455068493152
3770,Croatia,2017,2,85.91306575342466
3771,Croatia,2017,3,83.87861369863013
3772,Croatia,2017,4,86.1913095890411
3773,Croatia,2017,5,93.85289863013698
3774,Croatia,2017,6,107.53698630136986
3775,Croatia,2017,7,124.48896712328767
3776,Croatia,2017,8,140.05249589041097
3777,Croatia,2017,9,152.51061369863015
3778,Croatia,2017,10,161.59135616438357
3779,Croatia,2017,11,167.36986027397262
3780,Croatia,2017,12,169.79559726027395
3781,Croatia,2017,13,168.4885315068493
3782,Croatia,2017,14,162.4691589041096
3783,Croatia,2017,15,152.0200684931507
3784,Croatia,2017,16,139.72402191780822
3785,Croatia,2017,17,126.16141369863013
3786,Croatia,2017,18,115.28418356164383
3787,Croatia,2017,19,108.95396164383561
3788,Croatia,2017,20,103.96479178082191
3789,Croatia,2017,21,99.90090684931506
3790,Croatia,2017,22,96.55413698630137
3791,Croatia,2017,23,93.53929863013698
3792,Croatia,2018,0,99.1843698630137
3793,Croatia,2018,1,96.83687671232876
3794,Croatia,2018,2,94.62604383561644
3795,Croatia,2018,3,92.59051506849315
3796,Croatia,2018,4,94.45858630136986
3797,Croatia,2018,5,101.05785205479452
3798,Croatia,2018,6,113.2365095890411
3799,Croatia,2018,7,129.0689780821918
3800,Croatia,2018,8,143.28901369863013
3801,Croatia,2018,9,154.73731232876713
3802,Croatia,2018,10,162.95697808219177
3803,Croatia,2018,11,168.08979452054794
3804,Croatia,2018,12,170.13137260273973
3805,Croatia,2018,13,168.79225753424657
